데이터_테이블,컬럼명,참조_테이블,참조_컬럼,제약조건_이름
departments,business_unit_id,business_units,id,departments_business_unit_id_fkey
departments,division_id,divisions,id,departments_division_id_fkey
hiring_plans,hired_user_id,users,id,hiring_plans_hired_user_id_fkey
hiring_plans,position_id,job_positions,id,hiring_plans_position_id_fkey
hiring_plans,department_id,departments,id,hiring_plans_department_id_fkey
programs,business_unit_id,business_units,id,programs_business_unit_id_fkey
project_milestones,project_id,projects,id,project_milestones_project_id_fkey
project_product_lines,project_id,projects,id,project_product_lines_project_id_fkey
project_product_lines,product_line_id,product_lines,id,project_product_lines_product_line_id_fkey
project_scenarios,project_id,projects,id,project_scenarios_project_id_fkey
projects,product_line_id,product_lines,id,projects_product_line_id_fkey
projects,program_id,programs,id,projects_program_id_fkey
projects,project_type_id,project_types,id,projects_project_type_id_fkey
projects,pm_id,users,id,projects_pm_id_fkey
resource_plans,position_id,job_positions,id,resource_plans_position_id_fkey
resource_plans,project_id,projects,id,resource_plans_project_id_fkey
resource_plans,project_role_id,project_roles,id,resource_plans_project_role_id_fkey
resource_plans,user_id,users,id,resource_plans_user_id_fkey
resource_plans,created_by,users,id,resource_plans_created_by_fkey
scenario_milestones,scenario_id,project_scenarios,id,scenario_milestones_scenario_id_fkey
scenario_milestones,base_milestone_id,project_milestones,id,scenario_milestones_base_milestone_id_fkey
scenario_resource_plans,position_id,job_positions,id,scenario_resource_plans_position_id_fkey
scenario_resource_plans,scenario_id,project_scenarios,id,scenario_resource_plans_scenario_id_fkey
scenario_resource_plans,user_id,users,id,scenario_resource_plans_user_id_fkey
scenario_resource_plans,created_by,users,id,scenario_resource_plans_created_by_fkey
sub_teams,department_id,departments,id,sub_teams_department_id_fkey
user_history,position_id,job_positions,id,user_history_position_id_fkey
user_history,sub_team_id,sub_teams,id,user_history_sub_team_id_fkey
user_history,user_id,users,id,user_history_user_id_fkey
user_history,department_id,departments,id,user_history_department_id_fkey
users,position_id,job_positions,id,users_position_id_fkey
users,sub_team_id,sub_teams,id,users_sub_team_id_fkey
users,department_id,departments,id,users_department_id_fkey
work_type_categories,parent_id,work_type_categories,id,work_type_categories_parent_id_fkey
work_type_legacy_mappings,category_id,work_type_categories,id,work_type_legacy_mappings_category_id_fkey
worklogs,project_id,projects,id,worklogs_project_id_fkey
worklogs,user_id,users,id,worklogs_user_id_fkey
worklogs,work_type_category_id,work_type_categories,id,worklogs_work_type_category_id_fkey
