테이블명,순서,컬럼명,데이터타입,Null허용,기본값
business_units,1,id,character varying,NO,
business_units,2,name,character varying,NO,
business_units,3,code,character varying,NO,
business_units,4,is_active,boolean,YES,
business_units,5,created_at,timestamp without time zone,YES,
business_units,6,updated_at,timestamp without time zone,YES,
common_codes,1,id,integer,NO,nextval('common_codes_id_seq'::regclass)
common_codes,2,group_code,character varying,NO,
common_codes,3,code_id,character varying,NO,
common_codes,4,name,character varying,NO,
common_codes,5,description,text,YES,
common_codes,6,sort_order,integer,YES,
common_codes,7,is_active,boolean,YES,
common_codes,8,created_at,timestamp without time zone,YES,
common_codes,9,updated_at,timestamp without time zone,YES,
departments,1,id,character varying,NO,
departments,2,business_unit_id,character varying,YES,
departments,3,name,character varying,NO,
departments,4,code,character varying,NO,
departments,5,is_active,boolean,YES,
departments,6,created_at,timestamp without time zone,YES,
departments,7,updated_at,timestamp without time zone,YES,
departments,8,division_id,character varying,YES,
divisions,1,id,character varying,NO,
divisions,2,name,character varying,NO,
divisions,3,code,character varying,NO,
divisions,4,is_active,boolean,YES,
divisions,5,created_at,timestamp without time zone,YES,
divisions,6,updated_at,timestamp without time zone,YES,
functional_roles,1,id,character varying,NO,
functional_roles,2,name,character varying,NO,
functional_roles,3,level,integer,YES,
functional_roles,4,std_hourly_rate,double precision,YES,
functional_roles,5,is_active,boolean,YES,
functional_roles,6,created_at,timestamp without time zone,YES,
functional_roles,7,updated_at,timestamp without time zone,YES,
hiring_plans,1,id,character varying,NO,
hiring_plans,2,department_id,character varying,NO,
hiring_plans,3,position_id,character varying,YES,
hiring_plans,4,target_date,date,NO,
hiring_plans,5,headcount,integer,NO,
hiring_plans,6,status,character varying,NO,
hiring_plans,7,remarks,text,YES,
hiring_plans,8,hired_user_id,character varying,YES,
hiring_plans,9,created_at,timestamp without time zone,YES,
hiring_plans,10,updated_at,timestamp without time zone,YES,
holidays,1,id,integer,NO,nextval('holidays_id_seq'::regclass)
holidays,2,date,timestamp without time zone,NO,
holidays,3,name,character varying,NO,
holidays,4,type,character varying,NO,
holidays,5,year,integer,NO,
holidays,6,created_at,timestamp without time zone,YES,
job_positions,1,id,character varying,NO,
job_positions,2,name,character varying,NO,
job_positions,3,std_hourly_rate,double precision,YES,
job_positions,4,is_active,boolean,YES,
job_positions,5,created_at,timestamp without time zone,YES,
job_positions,6,updated_at,timestamp without time zone,YES,
job_positions,7,level,integer,YES,0
product_lines,1,id,character varying,NO,
product_lines,2,name,character varying,NO,
product_lines,3,code,character varying,NO,
product_lines,4,description,text,YES,
product_lines,5,is_active,boolean,YES,
product_lines,6,created_at,timestamp without time zone,YES,
product_lines,7,updated_at,timestamp without time zone,YES,
product_lines,8,business_unit_id,character varying,YES,
product_lines,9,line_category,character varying,YES,'PRODUCT'::character varying
programs,1,id,character varying,NO,
programs,2,name,character varying,NO,
programs,3,business_unit_id,character varying,NO,
programs,4,description,text,YES,
programs,5,is_active,boolean,YES,
programs,6,created_at,timestamp without time zone,YES,
programs,7,updated_at,timestamp without time zone,YES,
project_milestones,1,id,integer,NO,nextval('project_milestones_id_seq'::regclass)
project_milestones,2,project_id,character varying,NO,
project_milestones,3,name,character varying,NO,
project_milestones,4,type,character varying,NO,
project_milestones,5,target_date,timestamp without time zone,NO,
project_milestones,6,actual_date,timestamp without time zone,YES,
project_milestones,7,status,character varying,YES,
project_milestones,8,is_key_gate,boolean,YES,
project_milestones,9,description,text,YES,
project_milestones,10,created_at,timestamp without time zone,YES,
project_milestones,11,updated_at,timestamp without time zone,YES,
project_product_lines,1,project_id,character varying,NO,
project_product_lines,2,product_line_id,character varying,NO,
project_roles,1,id,character varying,NO,
project_roles,2,name,character varying,NO,
project_roles,3,category,character varying,YES,
project_roles,4,std_hourly_rate,double precision,YES,
project_roles,5,is_active,boolean,YES,
project_roles,6,created_at,timestamp without time zone,YES,
project_roles,7,updated_at,timestamp without time zone,YES,
project_scenarios,1,id,integer,NO,nextval('project_scenarios_id_seq'::regclass)
project_scenarios,2,project_id,character varying,NO,
project_scenarios,3,name,character varying,NO,
project_scenarios,4,description,text,YES,
project_scenarios,5,is_active,boolean,YES,
project_scenarios,6,is_baseline,boolean,YES,
project_scenarios,7,created_at,timestamp without time zone,YES,
project_scenarios,8,updated_at,timestamp without time zone,YES,
project_types,1,id,character varying,NO,
project_types,2,name,character varying,NO,
project_types,3,description,text,YES,
project_types,4,is_active,boolean,YES,
projects,1,id,character varying,NO,
projects,2,program_id,character varying,NO,
projects,3,project_type_id,character varying,NO,
projects,4,code,character varying,NO,
projects,5,name,character varying,NO,
projects,6,status,character varying,YES,
projects,7,scale,character varying,YES,
projects,8,product_line_id,character varying,YES,
projects,9,pm_id,character varying,YES,
projects,10,start_month,character varying,YES,
projects,11,end_month,character varying,YES,
projects,12,customer,character varying,YES,
projects,13,product,character varying,YES,
projects,14,description,text,YES,
projects,15,created_at,timestamp without time zone,YES,
projects,16,updated_at,timestamp without time zone,YES,
projects,17,category,character varying,YES,'PROJECT'::character varying
projects,18,owner_department_id,character varying,YES,
