Project,Program,Product,IO,Customer,Status,Complexity,Description,ID,Complexity0,Area,Program.text
"z [Closed] NKB943, H2D-S x 3","EUV NPI","NKB943000",406372,"SK Hynix","Completed","NPI Project","SRC 7 + EXP 3 + H2D M x3 (750SLM)
Req.Delivery Date : 2023-11-13",1,"Derivative NPI","IntegratedSystem","EUV NPI"
"z [Closed] NKB953, Nova x 4","EUV NPI","NKB953000",406372,"Samsung","Completed","NPI Project","SRC 7 + EXP 3 + Nova x 4
Req.Delivery Date : 2023-12-04",2,"Derivative NPI","IntegratedSystem","EUV NPI"
"z [Closed] Gen3+, H2D-T x 2, TSMC R&D","EUV NPI","IEB2H0472010",406372,"TSMC R&D","Completed","NPI Project","SRC 6 + EXP 2 + HRS + H2D T x 2
Source: 6 off 14K + 5 off 6550",3,"Simple NPI","IntegratedSystem","EUV NPI"
"Gen3+, HRSD, H2D-HP x 2, HVM","EUV NPI","IEB3J0624010",406372,"TSMC HVM","WIP","NPI Project","SRC 6 + EXP 2 + HRSD + H2D-HP x 2",4,"Simple NPI","IntegratedSystem","EUV NPI"
"z [Closed] Proteus HV","Abatement NPI","",406428,"","Completed","NPI Project","2025 : 프로젝트 종료로 406398 >> 406428",5,"Simple NPI","Abatement","Abatement NPI"
"z [Closed] Proteus Single NRTL","Abatement NPI","Single, NRTL",406428,"","Completed","NPI Project","2025 : 프로젝트 종료로 406425 >> 406428",6,"Simple NPI","Abatement","Abatement NPI"
"z [Closed] Proteus Dual NRTL","Abatement NPI","Dual, NRTL",406428,"","Completed","NPI Project","
2025 : 프로젝트 종료로 406361 >> 406428",7,"Simple NPI","Abatement","Abatement NPI"
"2025 Ruby - SIC integration","IS NPI","Ruby",406397,"","WIP","NPI Project","2025 사용 : 406397	Ruby - Sic integration",8,"Simple NPI","IntegratedSystem","IS NPI"
"2025 Havasu","IS NPI","Havasu",406399,"TEL","WIP","NPI Project","2025 사용 : 406399	Havasu",9,"Complex NPI","IntegratedSystem","IS NPI"
"Gen3+ SMM2","EUV NPI","SMM2",406422,"ASML","Completed","NPI Project","",10,"Simple NPI","IntegratedSystem","EUV NPI"
"2025 Hydrogen Recycling System_KR","IS NPI","NKB918000",406403,"","WIP","NPI Project","Gen2+ Field Upgade, CST Upgrade
2025 사용 : 406403	Hydrogen Recycling System_KR",11,"Simple NPI","IntegratedSystem","IS NPI"
"H2D 500","IS NPI","H2D-T, H2D-R, H2D-Rx3",405742,"","Completed","NPI Project","",12,"Derivative NPI","IntegratedSystem","IS NPI"
"2025 High Performance H2D (1000slm)","IS NPI","H2D-HP",406365,"","WIP","NPI Project","2025 사용 : 406365	High Performance H2D (1000slm)",13,"Derivative NPI","IntegratedSystem","IS NPI"
"General/Non-Project","General/Functional","",,"","WIP","","Functional Team, 교육, Intenal Project 수행",14,"","Others","General/Functional"
"EUV ETO Support","General/Functional","",404721,"","WIP","Support","EUV의 ETO Project 들 관련 업무 수행",15,"","IntegratedSystem","General/Functional"
"SDG/UI Knowledge Growth","General/Functional","",406405,"","WIP","Support","",16,"","Others","General/Functional"
"Veldhoven Support","General/Functional","",,"","WIP","Support","",17,"","IntegratedSystem","General/Functional"
"Proteus Legacy Support","General/Functional","",406428,"","WIP","Legacy","2025 사용 : 406428	R&D General, Lab management(AA)",18,"","Abatement","General/Functional"
"EUV Python Simulator","General/Functional","",406405,"","WIP","Support","",19,"","Others","General/Functional"
"ReGIS Mk3","IS NPI","",406364,"","Hold","NPI Project","",21,"Simple NPI","IntegratedSystem","IS NPI"
