id,department_id,name,code,is_active,created_at,updated_at
ST_ACM C,DEPT_ACM,ACM ControlEngineering,ACM C,t,2025-12-26 14:41:42.218973,2025-12-26 14:41:42.218981
ST_ACM_TECH,DEPT_ACM,ACM SystemEngineering,ACM_TECH,t,2025-12-26 14:40:33.665368,2025-12-26 14:42:04.656611
ST_ANALYSIS,DEPT_CENTRAL,Analysis Tech.,ANALYSIS,t,2025-12-24 11:18:55.830195,2025-12-24 11:18:55.830195
ST_CTRL_ELEC_ABT,DEPT_CONTROL,Electrical (ABT),CTRL_ELEC_ABT,t,2025-12-24 11:18:55.830201,2025-12-24 11:18:55.830202
ST_CTRL_ELEC_IS,DEPT_CONTROL,Electrical (IS),CTRL_ELEC_IS,t,2025-12-24 11:18:55.830198,2025-12-24 11:18:55.830199
ST_CTRL_SW_ABT,DEPT_CONTROL,Software (ABT),CTRL_SW_ABT,t,2025-12-24 11:18:55.8302,2025-12-24 11:18:55.830201
ST_CTRL_SW_IS,DEPT_CONTROL,Software (IS),CTRL_SW_IS,t,2025-12-24 11:18:55.830197,2025-12-24 11:18:55.830198
ST_DES,DEPT_CENTRAL,DES,DES,t,2025-12-24 11:18:55.830189,2025-12-24 11:18:55.830192
ST_ETO M,DEPT_ETO,ETO Machnical,ETO M,t,2025-12-26 15:14:36.389435,2025-12-26 15:14:36.38944
ST_ETO_ELEC,DEPT_ETO,ETO Electrical,ETO_ELEC,t,2025-12-24 11:18:55.830203,2025-12-26 15:14:45.167316
ST_LAB,DEPT_CENTRAL,Lab Management,LAB,t,2025-12-24 11:18:55.830193,2025-12-24 11:18:55.830194
ST_MECH_ENG,DEPT_NPI_IS,Mechanical Engineering,MECH_ENG,t,2025-12-24 11:18:55.830205,2025-12-24 11:18:55.830206
ST_NPI1,DEPT_NPI_ABT,NPI 1 Team,NPI1,t,2025-12-24 11:18:55.830206,2025-12-24 11:18:55.830207
ST_RA,DEPT_CENTRAL,RA,RA,t,2025-12-24 11:18:55.830196,2025-12-24 11:18:55.830196
ST_SYS_ENG,DEPT_NPI_IS,Systems Engineering,SYS_ENG,t,2025-12-24 11:18:55.830204,2025-12-24 11:18:55.830204
ST_TEST_DEL,DEPT_ACM_TECH,Test Delete SubTeam,TEST_DEL,f,2025-12-26 14:09:12.062753,2025-12-26 14:09:12.260658
